Year,Quarter,Month,tourists万人次,revenue亿元,source
2016,1,1,348.28,32.21,桂林市旅游局月度累计
2016,1,2,385.76,43.13,由累计差值推算
2016,1,3,406.55,45.56,由累计差值推算
2016,1,-,1140.59,120.90,桂林市旅游局Q1累计
2016,2,4,441.77,50.06,由累计差值推算
2016,2,5,443.40,51.42,由累计差值推算
2016,2,6,311.93,49.09,由累计差值推算
2016,2,-,1197.10,150.51,桂林市旅游局Q2累计
2016,3,7,623.55,60.08,由累计差值推算
2016,3,8,529.03,61.92,由累计差值推算
2016,3,9,275.59,56.43,由累计差值推算
2016,3,-,1428.17,178.43,桂林市旅游局Q3累计
2016,4,10,705.43,62.48,由累计差值推算
2016,4,11,293.92,37.19,由累计差值推算
2016,4,12,620.66,87.80,由累计差值推算
2016,4,-,1620.01,187.47,桂林市旅游局Q4累计
2016,-,-,5385.87,637.31,桂林市旅游局全年累计
