Year,Quarter,Month,tourists万人次,revenue亿元,inbound万人次,inbound_万美元,source
2023,1,-,2845.62,359.26,1.12,319.97,国内季度+入境月度
2023,2,-,4171.52,475.64,4.50,1223.39,由累计差值推算
2023,3,-,4010.54,514.83,7.08,2139.07,由累计差值推算
2023,4,-,2870.96,363.71,16.23,7880.68,由年度累计减前三季度推算
2023,-,-,13898.64,1713.44,28.93,11563.11,桂林市文旅局年度累计
2023入境,1,1-2,-,-,0.62,184.97,桂林市文旅局月度累计
2023入境,1,3,-,-,0.50,135.00,由累计差值推算(1-3月减1-2月)
2023入境,2,4,-,-,1.55,395.89,由累计差值推算(1-4月减1-3月)
2023入境,2,5,-,-,1.26,380.53,由累计差值推算(1-5月减1-4月)
2023入境,2,6,-,-,1.69,446.97,由累计差值推算(1-6月减1-5月)
2023入境,3,7,-,-,1.90,529.16,由累计差值推算(1-7月减1-6月)
2023入境,3,8,-,-,2.17,666.95,由累计差值推算(1-8月减1-7月)
2023入境,3,9,-,-,3.01,942.96,由累计差值推算(1-9月减1-8月)
2023入境,4,10,-,-,5.54,1576.21,由累计差值推算(1-10月减1-9月)
2023入境,4,11,-,-,4.31,1198.78,由累计差值推算(1-11月减1-10月)
2023入境,4,12,-,-,6.38,5105.69,由累计差值推算(1-12月减1-11月)
