raw_date,tmax,tmin,day_weather,night_weather,wind_dir,wind_power,Tmax,Tmin,Date,Year,Month,Quarter,Tavg,S_temp,S_weather,S_wind,CCI,CCI_old
46023,6 ℃,2 ℃,小雨,小雨,无持续风向,微风,6.0,2.0,2011-01-01,2011,1,1,4.0,0.010936761994674618,0.65,1.0,37.81135593255945,31.43906669590667
46024,5 ℃,2 ℃,雨夹雪,雨夹雪,无持续风向,微风,5.0,2.0,2011-01-02,2011,1,1,3.5,0.008352815962935228,0.7,1.0,37.86424730489021,32.63668177268449
46025,5 ℃,3 ℃,小雨,小雨,北风,微风,5.0,3.0,2011-01-03,2011,1,1,4.0,0.010936764165023429,0.65,1.0,37.81135598534029,31.43906669590667
46026,7 ℃,3 ℃,小雨,小雨,北风,微风,7.0,3.0,2011-01-04,2011,1,1,5.0,0.018315623658767096,0.65,1.0,37.99338278582734,31.602243276544307
46027,6 ℃,1 ℃,小雨,小雨,北风,微风,6.0,1.0,2011-01-05,2011,1,1,3.5,0.008352814305358643,0.65,1.0,37.74883211678961,31.38668177268449
46028,4 ℃,3 ℃,小雨,小雨,北风,微风,4.0,3.0,2011-01-06,2011,1,1,3.5,0.008352816968306568,0.65,1.0,37.74883218090028,31.38668177268449
46029,6 ℃,2 ℃,小雨,小雨,北风,微风,6.0,2.0,2011-01-07,2011,1,1,4.0,0.010936761994674618,0.65,1.0,37.81135593255945,31.43906669590667
46030,1 ℃,0 ℃,小雪,小雪,北风,微风,1.0,0.0,2011-01-08,2011,1,1,0.5,0.0014068441263316899,0.7,1.0,37.69883318058843,32.51618883914959
46031,3 ℃,1 ℃,小雨,小雨,北风,微风,3.0,1.0,2011-01-09,2011,1,1,2.0,0.003550648157669728,0.65,1.0,37.6343051951782,31.298959270104334
46032,4 ℃,2 ℃,小雨,小雨,北风,微风,4.0,2.0,2011-01-10,2011,1,1,3.0,0.006329714253076032,0.65,1.0,37.70031869131654,31.34793676971317
46033,1 ℃,-2 ℃,雨夹雪,小雨,北风,微风,1.0,-2.0,2011-01-11,2011,1,1,-0.5,0.0007298611178811976,0.675,1.0,37.624913372197675,31.8824045882452
46034,3 ℃,1 ℃,小雨,阴,北风,微风,3.0,1.0,2011-01-12,2011,1,1,2.0,0.003550648157669728,0.7250000000000001,1.0,37.8086766724027,33.17395927010433
