Year,Quarter,tourists,revenue,CCI_mean,SI_mean,Tavg_mean,Tmax_mean,rain_days,tourists_total,Q_index,Q_dummy,spring_dummy,holiday_effect,pandemic
2013,1,661.66,59.54,47.72,6.92,14.24,17.56,53,3584.17,18.460619892471616,0,-1,-1,0
2013,2,898.44,85.45,65.87,2.75,25.12,28.23,57,3584.17,25.06689135838981,0,0,0,0
2013,3,1130.73,106.99,53.46,3.29,27.98,31.98,29,3584.17,31.54788974853313,1,0,1,0
2013,4,893.34,96.5,50.03,6.67,14.68,18.48,24,3584.17,24.92459900060544,1,0,1,0
2014,1,716.54,70.79,42.38,7.65,13.16,16.3,60,3871.16,18.509697351698197,0,-1,-1,0
2014,2,951.58,96.21,67.86,2.59,25.27,28.45,63,3871.16,24.581262463964293,0,0,0,0
2014,3,1312.78,142.69,54.46,3.03,28.06,32.18,38,3871.16,33.911799047313984,1,0,1,0
2014,4,890.26,110.61,47.57,6.51,15.04,18.8,29,3871.16,22.99724113702353,1,0,1,0
2015,1,780.69,82.39,40.03,7.45,13.66,16.73,53,4469.95,17.4652960323941,0,-1,-1,0
2015,2,1099.98,124.25,74.1,1.92,25.29,28.62,59,4469.95,24.608328952225417,0,0,0,0
2015,3,1354.98,155.67,65.64,2.4,26.56,30.24,40,4469.95,30.313090750455824,1,0,1,0
2015,4,1234.3,155.02,45.76,6.66,14.86,18.09,39,4469.95,27.613284264924665,1,0,1,0
2016,1,1140.59,120.9,41.04,7.91,12.82,16.26,47,5385.87,21.17745136811694,0,-1,-1,0
2016,2,1197.1,150.51,68.43,2.51,25.59,29.19,58,5385.87,22.226678326806994,0,0,0,0
2016,3,1428.17,178.43,51.8,3.31,28.38,32.41,25,5385.87,26.516978686823116,1,0,1,0
2016,4,1620.01,187.47,51.56,5.92,16.06,19.72,31,5385.87,30.078891618252946,1,0,1,0
2017,3,2655.22,329.87,46.65,3.71,28.78,32.63,33,8232.79,32.251763982805336,1,0,1,0
2017,4,1593.65,183.3,49.95,6.82,14.77,18.36,21,8232.79,19.357350302874238,1,0,1,0
2018,1,1953.89,257.01,49.39,6.96,14.44,18.1,35,10915.33,17.900420784346423,0,-1,-1,0
2018,2,2846.47,347.15,63.74,2.68,26.28,29.63,56,10915.33,26.077727379749398,0,0,0,0
2018,3,3196.79,408.04,53.55,3.33,27.92,31.78,35,10915.33,29.287158519256863,1,0,1,0
2018,4,2918.17,379.55,46.92,7.53,13.41,16.37,56,10915.33,26.73460170237638,1,0,1,0
2019,1,2434.55,343.21,39.91,7.58,13.36,16.46,57,13833.67,17.59872832010595,0,-1,-1,0
2019,2,3704.6,505.62,68.36,2.34,25.64,28.81,68,13833.67,26.77958921963586,0,0,0,0
2019,3,4313.12,582.99,40.93,4.24,29.65,33.99,21,13833.67,31.178421922743567,1,0,1,0
2019,4,3381.4,436.4,55.43,6.22,15.66,19.57,24,13833.67,24.44326053751463,1,0,1,0
2020,1,697.83,101.21,43.03,7.31,13.97,16.51,38,10241.2,6.813947584267469,0,-1,-1,1
2020,2,2004.02,244.62,61.07,2.84,26.15,29.05,40,10241.2,19.568214662344253,0,0,0,1
2020,3,4049.79,491.08,57.77,3.29,26.74,29.89,25,10241.2,39.54409639495371,1,0,1,1
2020,4,3489.56,396.74,49.12,7.49,14.02,16.98,11,10241.2,34.07374135843455,1,0,1,1
2021,1,1814.36,232.61,50.08,6.2,15.62,18.51,36,12239.14,14.824244187091576,0,-1,-1,1
2021,2,4148.21,500.33,60.49,3.14,25.93,28.91,35,12239.14,33.89298594509091,0,0,0,1
2021,3,3977.18,497.93,37.23,4.7,29.77,33.7,4,12239.14,32.49558384004105,1,0,1,1
2021,4,2295.13,270.92,47.0,7.02,14.35,17.38,23,12239.14,18.752379660662434,1,0,1,1
2022,1,1493.77,192.68,45.29,7.79,13.32,16.36,35,10695.55,13.966275694097078,0,-1,-1,1
2022,2,3223.23,373.77,67.54,2.79,24.4,27.33,47,10695.55,30.13617813015694,0,0,0,1
2022,3,3528.72,418.94,39.39,4.6,29.59,33.95,5,10695.55,32.99241273239805,1,0,1,1
2022,4,2447.42,292.0,53.77,6.26,16.42,19.87,15,10695.55,22.88260070777099,1,0,1,1
2023,1,2845.62,359.26,46.15,7.25,14.17,17.02,26,13927.57,20.431561284560047,0,-1,-1,0
2023,2,4171.52,475.64,59.29,3.38,26.04,29.29,42,13927.57,29.95152779702418,0,0,0,0
2023,3,4010.54,514.83,49.85,3.73,28.36,31.82,17,13927.57,28.795690849157463,1,0,1,0
2023,4,2870.96,363.71,56.0,5.86,16.23,19.97,27,13927.57,20.613502570800218,1,0,1,0
2024,1,3262.11,414.87,45.76,7.58,13.68,16.36,33,15663.66,20.825975538284155,0,-1,-1,0
2024,2,4505.23,521.94,68.52,2.39,25.76,28.65,37,15663.66,28.762307149159263,0,0,0,0
2024,3,4717.73,588.95,47.65,3.83,28.84,32.65,20,15663.66,30.11895048794471,1,0,1,0
2024,4,3077.78,374.12,55.17,6.08,16.22,19.86,6,15663.66,19.64917522469206,1,0,1,0
