Year,Quarter,tourists,revenue,CCI_mean,Tmax_mean,Tavg_mean,rain_days,hot_days,cold_days,Q1,Q2,Q3,CCI_lag1,CCI_lag2
2013,1,661.66,59.54,47.72,17.56,14.24,53,0,7,1,0,0,,
2013,2,898.44,85.45,65.87,28.23,25.12,57,7,0,0,1,0,47.72,
2013,3,1130.73,106.99,53.46,31.98,27.98,29,24,0,0,0,1,65.87,47.72
2013,4,893.34,96.5,50.03,18.48,14.68,24,0,16,0,0,0,53.46,65.87
2014,1,716.54,70.79,42.38,16.3,13.16,60,0,22,1,0,0,50.03,53.46
2014,2,951.58,96.21,67.86,28.45,25.27,63,6,0,0,1,0,42.38,50.03
2014,3,1312.78,142.69,54.46,32.18,28.06,38,18,0,0,0,1,67.86,42.38
2014,4,890.26,110.61,47.57,18.8,15.04,29,0,13,0,0,0,54.46,67.86
2015,1,780.69,82.39,40.03,16.73,13.66,53,0,12,1,0,0,47.57,54.46
2015,2,1099.98,124.25,74.1,28.62,25.29,59,3,0,0,1,0,40.03,47.57
2015,3,1354.98,155.67,65.64,30.24,26.56,40,8,0,0,0,1,74.1,40.03
2015,4,1234.3,155.02,45.76,18.09,14.86,39,0,6,0,0,0,65.64,74.1
2016,1,1140.59,120.9,41.04,16.26,12.82,47,0,24,1,0,0,45.76,65.64
2016,2,1197.1,150.51,68.43,29.19,25.59,58,12,0,0,1,0,41.04,45.76
2016,3,1428.17,178.43,51.8,32.41,28.38,25,19,0,0,0,1,68.43,41.04
2016,4,1620.01,187.47,51.56,19.72,16.06,31,0,7,0,0,0,51.8,68.43
2017,1,,,41.31,17.2,13.89,42,0,5,1,0,0,51.56,51.8
2017,2,,,76.8,28.04,24.48,61,0,0,0,1,0,41.31,51.56
2017,3,2655.22,329.87,46.65,32.63,28.78,33,20,0,0,0,1,76.8,41.31
2017,4,1593.65,183.3,49.95,18.36,14.77,21,0,10,0,0,0,46.65,76.8
2018,1,1953.89,257.01,49.39,18.1,14.44,35,0,15,1,0,0,49.95,46.65
2018,2,2846.47,347.15,63.74,29.63,26.28,56,4,0,0,1,0,49.39,49.95
2018,3,3196.79,408.04,53.55,31.78,27.92,35,21,0,0,0,1,63.74,49.39
2018,4,2918.17,379.55,46.92,16.37,13.41,56,0,21,0,0,0,53.55,63.74
2019,1,2434.55,343.21,39.91,16.46,13.36,57,0,15,1,0,0,46.92,53.55
2019,2,3704.6,505.62,68.36,28.81,25.64,68,1,0,0,1,0,39.91,46.92
2019,3,4313.12,582.99,40.93,33.99,29.65,21,45,0,0,0,1,68.36,39.91
2019,4,3381.4,436.4,55.43,19.57,15.66,24,0,2,0,0,0,40.93,68.36
2020,1,697.83,101.21,43.03,16.51,13.97,38,0,10,1,0,0,55.43,40.93
2020,2,2004.02,244.62,61.07,29.05,26.15,40,4,0,0,1,0,43.03,55.43
2020,3,4049.79,491.08,57.77,29.89,26.74,25,12,0,0,0,1,61.07,43.03
2020,4,3489.56,396.74,49.12,16.98,14.02,11,0,17,0,0,0,57.77,61.07
2021,1,1814.36,232.61,50.08,18.51,15.62,36,0,2,1,0,0,49.12,57.77
2021,2,4148.21,500.33,60.49,28.91,25.93,35,10,0,0,1,0,50.08,49.12
2021,3,3977.18,497.93,37.23,33.7,29.77,4,46,0,0,0,1,60.49,50.08
2021,4,2295.13,270.92,47.0,17.38,14.35,23,0,5,0,0,0,37.23,60.49
2022,1,1493.77,192.68,45.29,16.36,13.32,35,0,23,1,0,0,47.0,37.23
2022,2,3223.23,373.77,67.54,27.33,24.4,47,4,0,0,1,0,45.29,47.0
2022,3,3528.72,418.94,39.39,33.95,29.59,5,47,0,0,0,1,67.54,45.29
2022,4,2447.42,292.0,53.77,19.87,16.42,15,0,10,0,0,0,39.39,67.54
2023,1,2845.62,359.26,46.15,17.02,14.17,26,0,9,1,0,0,53.77,39.39
2023,2,4171.52,475.64,59.29,29.29,26.04,42,14,0,0,1,0,46.15,53.77
2023,3,4010.54,514.83,49.85,31.82,28.36,17,22,0,0,0,1,59.29,46.15
2023,4,2870.96,363.71,56.0,19.97,16.23,27,0,11,0,0,0,49.85,59.29
2024,1,3262.11,414.87,45.76,16.36,13.68,33,0,24,1,0,0,56.0,49.85
2024,2,4505.23,521.94,68.52,28.65,25.76,37,7,0,0,1,0,45.76,56.0
2024,3,4717.73,588.95,47.65,32.65,28.84,20,36,0,0,0,1,68.52,45.76
2024,4,3077.78,374.12,55.17,19.86,16.22,6,0,3,0,0,0,47.65,68.52
2025,1,,,41.76,16.94,13.94,29,0,3,1,0,0,55.17,47.65
2025,2,,,65.5,29.93,26.34,33,8,0,0,1,0,41.76,55.17
2025,4,,,58.75,20.26,16.51,11,0,2,0,0,0,65.5,41.76
