Year,Quarter,Month,tourists,revenue
2013,1,1,171.25,13.12
2013,1,2,268.15,23.33
2013,1,3,222.26,23.09
2013,2,4,277.66,24.26
2013,2,5,296.37,26.66
2013,2,6,324.41,34.54
2013,3,7,384.13,34.14
2013,3,8,399.75,35.31
2013,3,9,346.85,37.54
2013,4,10,358.55,36.96
2013,4,11,318.15,32.32
2013,4,12,216.64,27.21
2014,1,1,185.17,15.68
2014,1,2,249.99,27.15
2014,1,3,281.38,27.96
2014,2,4,318.65,32.44
2014,2,5,315.42,32.02
2014,2,6,317.51,31.75
2014,3,7,441.39,44.35
2014,3,8,479.86,50.04
2014,3,9,391.53,48.31
2014,4,10,408.08,46.58
2014,4,11,236.57,29.42
2014,4,12,245.61,32.88
2015,1,1,203.41,18.69
2015,1,2,273.17,29.83
2015,1,3,304.11,33.87
2015,2,4,378.61,41.46
2015,2,5,381.79,43.56
2015,2,6,339.58,39.23
2015,3,7,464.87,53.37
2015,3,8,480.77,54.8
2015,3,9,409.34,47.5
2015,4,10,462.98,52.81
2015,4,11,255.11,29.66
2015,4,12,516.21,72.55
2016,1,1,348.28,32.21
2016,1,2,385.76,43.13
2016,1,3,406.55,45.56
2016,2,4,441.77,50.06
2016,2,5,443.4,51.42
2016,2,6,311.93,49.09
2016,3,7,623.55,60.08
2016,3,8,529.03,61.92
2016,3,9,275.59,56.43
2016,4,10,705.43,62.48
2016,4,11,293.92,37.19
2016,4,12,620.66,87.8
2017,4,10,573.68,71.23
2017,4,11,365.08,45.81
2017,4,12,654.89,66.26
2018,1,1,894.56,101.72
2018,1,2,710.69,81.94
2018,1,3,348.65,73.35
2018,2,4,920.88,101.6
2018,2,5,867.49,103.55
2018,2,6,1058.1,142.0
2018,3,7,987.74,124.32
2018,3,8,1044.1,132.18
2018,3,9,1164.95,151.54
2018,4,10,764.75,97.85
2018,4,11,614.96,77.73
2018,4,12,1538.46,203.97
2019,1,1,927.96,105.46
2019,1,2,929.07,111.46
2019,1,3,577.52,126.29
2019,2,4,1177.17,152.87
2019,2,5,1056.17,122.38
2019,2,6,1471.26,230.37
2019,3,7,1300.19,171.74
2019,3,8,1372.96,174.37
2019,3,9,1639.97,236.88
2019,4,10,848.98,96.12
2019,4,11,725.63,82.48
2019,4,12,1806.79,257.8
2021,1,3,,
2021,2,4,,
2021,2,5,,
2021,2,6,,
2021,3,7,,
2021,3,8,,
2021,3,9,,
2021,4,10,,
2021,4,11,,
2021,4,12,,
2022,1,3,,
2022,2,4,,
2022,2,5,,
2022,2,6,,
2022,3,7,,
2022,3,8,,
2022,3,9,,
2022,4,10,,
2022,4,11,,
2022,4,12,,
2023,1,3,,
2023,2,4,,
2023,2,5,,
2023,2,6,,
2023,3,7,,
2023,3,8,,
2023,3,9,,
2023,4,10,,
2023,4,11,,
2023,4,12,,
2024,1,3,,
2024,2,4,,
2024,2,5,,
2024,2,6,,
2024,3,7,,
2024,3,8,,
2024,3,9,,
2024,4,10,,
2024,4,11,,
2024,4,12,,
