raw_date,tmax,tmin,day_weather,night_weather,wind_dir,wind_power,Tmax,Tmin,Date,Year,Month,Quarter,Tavg,S_temp,S_weather,S_wind,CCI,SI,SI_score,CCI_owci,CCI_level,SI_level,OWCI_level,CCI_9ma,OWCI_9ma
46023,6 ℃,2 ℃,小雨,小雨,无持续风向,微风,6.0,2.0,2011-01-01,2011,1,1,4.0,0.0031511115984444414,0.65,1.0,13.557353007750168,15.100000000000001,16.850220264317173,35.40620571968048,5-最不舒适,5-最不舒适,4-较不舒适,,
46024,5 ℃,2 ℃,雨夹雪,雨夹雪,无持续风向,微风,5.0,2.0,2011-01-02,2011,1,1,3.5,0.002278029544741524,0.7,1.0,14.31268081618865,15.440000000000001,14.97797356828194,36.001168957776116,5-最不舒适,5-最不舒适,4-较不舒适,,
46025,5 ℃,3 ℃,小雨,小雨,北风,微风,5.0,3.0,2011-01-03,2011,1,1,4.0,0.0031511115984444414,0.65,1.0,13.557353007750168,15.100000000000001,16.850220264317173,35.406205849901404,5-最不舒适,5-最不舒适,4-较不舒适,,
46026,7 ℃,3 ℃,小雨,小雨,北风,微风,7.0,3.0,2011-01-04,2011,1,1,5.0,0.00587072127573848,0.65,1.0,13.594865215684635,14.420000000000002,20.594713656387654,35.84893741952603,5-最不舒适,5-最不舒适,4-较不舒适,,
46027,6 ℃,1 ℃,小雨,小雨,北风,微风,6.0,1.0,2011-01-05,2011,1,1,3.5,0.002278029544741524,0.65,1.0,13.546092166990976,15.440000000000001,14.97797356828194,35.25116885832152,5-最不舒适,5-最不舒适,4-较不舒适,,
46028,4 ℃,3 ℃,小雨,小雨,北风,微风,4.0,3.0,2011-01-06,2011,1,1,3.5,0.002278029544741524,0.65,1.0,13.546092166990976,15.440000000000001,14.97797356828194,35.251169018098395,5-最不舒适,5-最不舒适,4-较不舒适,,
46029,6 ℃,2 ℃,小雨,小雨,北风,微风,6.0,2.0,2011-01-07,2011,1,1,4.0,0.0031511115984444414,0.65,1.0,13.557353007750168,15.100000000000001,16.850220264317173,35.40620571968048,5-最不舒适,5-最不舒适,4-较不舒适,,
46030,1 ℃,0 ℃,小雪,小雪,北风,微风,1.0,0.0,2011-01-08,2011,1,1,0.5,0.00026981398582666877,0.7,1.0,14.287151528571792,17.48,3.7444933920704813,35.5844106475799,5-最不舒适,5-最不舒适,4-较不舒适,,
46031,3 ℃,1 ℃,小雨,小雨,北风,微风,3.0,1.0,2011-01-09,2011,1,1,2.0,0.0008159878350721483,0.65,1.0,13.528083421202094,16.46,9.36123348017621,34.96303888946019,5-最不舒适,5-最不舒适,4-较不舒适,,
46032,4 ℃,2 ℃,小雨,小雨,北风,微风,4.0,2.0,2011-01-10,2011,1,1,3.0,0.0016322794952194585,0.65,1.0,13.538007259277851,15.780000000000001,13.105726872246692,35.12978285518456,5-最不舒适,5-最不舒适,4-较不舒适,,
46033,1 ℃,-2 ℃,雨夹雪,小雨,北风,微风,1.0,-2.0,2011-01-11,2011,1,1,-0.5,0.00012340980408667956,0.675,1.0,13.902120857324368,18.16,0.0,35.168791667072874,5-最不舒适,5-最不舒适,4-较不舒适,,
46034,3 ℃,1 ℃,小雨,阴,北风,微风,3.0,1.0,2011-01-12,2011,1,1,2.0,0.0008159878350721483,0.7250000000000001,1.0,14.677883235977077,16.46,9.36123348017621,36.08803888946019,5-最不舒适,5-最不舒适,4-较不舒适,,
46035,5 ℃,1 ℃,阴,小雨,北风,微风,5.0,1.0,2011-01-13,2011,1,1,3.0,0.0016322794952194585,0.7250000000000001,1.0,14.688456496279514,15.780000000000001,13.105726872246692,36.2547828094727,5-最不舒适,5-最不舒适,4-较不舒适,,
46036,6 ℃,2 ℃,阴,多云,北风,微风,6.0,2.0,2011-01-14,2011,1,1,4.0,0.0031511115984444414,0.875,1.0,17.005558682428642,15.100000000000001,16.850220264317173,38.78120571968048,4-较不舒适,5-最不舒适,4-较不舒适,,
46037,6 ℃,2 ℃,阴,阴,北风,微风,6.0,2.0,2011-01-15,2011,1,1,4.0,0.0031511115984444414,0.8,1.0,15.861553709343825,15.100000000000001,16.850220264317173,37.65620571968048,5-最不舒适,5-最不舒适,4-较不舒适,,
46038,8 ℃,1 ℃,阴,小雨,北风,微风,8.0,1.0,2011-01-16,2011,1,1,4.5,0.004320239474094062,0.7250000000000001,1.0,14.725368115537632,14.760000000000002,18.722466960352406,36.72751620710694,5-最不舒适,5-最不舒适,4-较不舒适,,
46048,6 ℃,2 ℃,小雨,小雨,北风,微风,6.0,2.0,2011-01-17,2011,1,1,4.0,0.0031511115984444414,0.65,1.0,13.557353007750168,15.100000000000001,16.850220264317173,35.40620571968048,5-最不舒适,5-最不舒适,4-较不舒适,,
46051,8 ℃,2 ℃,阴,多云,北风,微风,8.0,2.0,2011-01-18,2011,1,1,5.0,0.00587072127573848,0.875,1.0,17.048155585360412,14.420000000000002,20.594713656387654,39.22393682672662,4-较不舒适,5-最不舒适,4-较不舒适,,
46052,7 ℃,2 ℃,多云,多云,北风,微风,7.0,2.0,2011-01-19,2011,1,1,4.5,0.004320239474094062,0.95,1.0,18.152831621409703,14.760000000000002,18.722466960352406,40.10251666697968,4-较不舒适,5-最不舒适,3-正常,,
46053,7 ℃,3 ℃,小雨,小雨,北风,微风,7.0,3.0,2011-01-20,2011,1,1,5.0,0.00587072127573848,0.65,1.0,13.594865215684635,14.420000000000002,20.594713656387654,35.84893741952603,5-最不舒适,5-最不舒适,4-较不舒适,,
46054,8 ℃,3 ℃,小雨,多云,北风,微风,8.0,3.0,2011-01-21,2011,1,1,5.5,0.007907054051593435,0.8,1.0,15.935053635907801,14.08,22.466960352422902,38.4055616042738,5-最不舒适,5-最不舒适,4-较不舒适,,
46055,11 ℃,-1 ℃,多云,多云,北风,微风,11.0,-1.0,2011-01-22,2011,1,1,5.0,0.00587072127573848,0.95,1.0,18.178344598690416,14.420000000000002,20.594713656387654,40.34893158125505,4-较不舒适,5-最不舒适,3-正常,,
46056,16 ℃,5 ℃,晴,多云,北风,微风,16.0,5.0,2011-01-23,2011,1,1,10.5,0.09526325532781016,0.975,1.0,21.345401049019117,10.680000000000001,41.189427312775315,50.33966606438458,4-较不舒适,4-较不舒适,3-正常,,
